rolling_window,sharpe_ratio,annualized_dollar_return,annualized_dollar_volatility,max_dollar_drawdown
5,0.21204621902537074,15504.321550741175,73117.65152900993,-339429.99999999977
10,0.49499606606848295,51628.392246294236,104300.61122778988,-318219.9999999998
20,0.3859440811282291,34173.010262257674,88543.94181239889,-259229.9999999999
30,0.3309125178550675,25869.50969213227,78176.28012326374,-172430.00000000006
100,0.47224942291444694,36068.75712656784,76376.49804624978,-178800.00000000006
