,rolling_window,daily_IC,before_changing_contract_IC,rebalancing_date_IC,annualized_dollar_return,annualized_dollar_volatility,sharpe_ratio,max_dollar_drawdown
0,5,0.01136611096363677,-0.05138123121510361,-0.022016126615197043,113556.60205245158,540826.8301093483,0.2099685069793817,-2325809.999999999
1,10,-0.006074327520563976,-0.07864624792498258,-0.08697007124063276,359092.8164196117,741389.7140136892,0.4843509555528866,-2156659.9999999995
2,20,-0.03011170592223919,-0.09930395499044309,-0.07404814395435737,258128.31242873392,643291.5052252577,0.401261807954928,-1792040.0000000023
3,50,-0.012054100627780685,-0.07105997976107752,-0.058353518772566164,96857.65108323793,535097.1700202158,0.18100946241143206,-1254880.0
4,100,-0.017384901232856007,-0.09839756513683683,-0.08950944627960401,249505.86088939564,568802.4912375651,0.4386511394254556,-1251600.0000000005
5,250,-0.03486133198216446,-0.15954599086539922,-0.12912684909727742,201376.59064994295,568077.171805408,0.354488088317204,-1844690.0
6,500,-0.015026535046085296,-0.09056737478512408,-0.005856483169377489,23424.21892816413,496457.10717300425,0.04718276481436554,-1661240.0000000005
