,rolling_window,sharpe_ratio,ann_dollar_return,ann_dollar_std,max_drawdown
0,5,0.210383085747249,15504.321550741175,73695.66567422549,-339429.99999999977
1,10,0.4911136840396888,51628.392246294236,105125.13481933837,-318219.9999999998
2,20,0.3829170219909866,34173.010262257674,89243.90481408806,-259229.9999999999
3,50,0.1745259371435745,12513.79703534776,71701.64641518716,-180109.99999999994
4,100,0.46854544868452286,36068.75712656784,76980.27422490952,-178800.00000000006
