,5,10,20,50,100
2000-01-04,,,,,
2000-01-05,0.0,0.0,0.0,0.0,0.0
2000-01-06,0.0,0.0,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0
2000-01-12,0.0,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0,0.0,0.0
2000-01-18,-30.0,-110.0,0.0,0.0,0.0
2000-01-19,-119.99999999999275,-439.9999999999734,0.0,0.0,0.0
2000-01-20,60.00000000000341,220.0000000000125,0.0,0.0,0.0
2000-01-21,690.0000000000059,2530.000000000022,0.0,0.0,0.0
2000-01-24,-149.9999999999975,-549.9999999999909,0.0,0.0,0.0
2000-01-25,1049.9999999999982,3849.9999999999936,0.0,0.0,0.0
2000-01-26,-299.9999999999998,-1099.9999999999982,0.0,0.0,0.0
2000-01-27,-1829.9999999999939,-6709.999999999976,0.0,0.0,0.0
2000-01-28,-1979.999999999996,-7259.9999999999845,0.0,0.0,0.0
2000-01-31,-720.0000000000014,-2640.0000000000045,0.0,0.0,0.0
2000-02-01,900.0000000000068,3300.0000000000255,0.0,0.0,0.0
2000-02-02,-869.9999999999927,-3189.9999999999727,0.0,0.0,0.0
2000-02-03,509.9999999999991,1869.9999999999973,0.0,0.0,0.0
2000-02-04,2580.0000000000027,9460.000000000011,0.0,0.0,0.0
2000-02-07,1560.0000000000032,5720.000000000013,0.0,0.0,0.0
2000-02-08,359.9999999999968,1319.999999999989,0.0,0.0,0.0
2000-02-09,2370.000000000002,8690.000000000007,0.0,0.0,0.0
2000-02-10,3930.0000000000005,14410.000000000004,0.0,0.0,0.0
2000-02-11,4319.999999999997,15839.999999999993,0.0,0.0,0.0
2000-02-14,6900.000000000006,25300.000000000025,0.0,0.0,0.0
2000-02-15,6690.0000000000055,24530.000000000022,0.0,0.0,0.0
2000-02-16,7109.999999999996,26069.99999999999,0.0,0.0,0.0
2000-02-17,4770.000000000004,17490.000000000015,0.0,0.0,0.0
2000-02-18,4700.000000000004,17380.000000000015,0.0,0.0,0.0
2000-02-22,8199.999999999982,17380.000000000015,0.0,0.0,0.0
2000-02-23,10099.999999999995,17380.000000000015,0.0,0.0,0.0
2000-02-24,12500.000000000015,17380.000000000015,0.0,0.0,0.0
2000-02-25,15999.999999999993,17380.000000000015,0.0,0.0,0.0
2000-02-28,14399.99999999999,17380.000000000015,0.0,0.0,0.0
2000-02-29,18400.00000000001,17380.000000000015,0.0,0.0,0.0
2000-03-01,30000.000000000015,17380.000000000015,0.0,0.0,0.0
2000-03-02,30699.99999999998,17380.000000000015,0.0,0.0,0.0
2000-03-03,30099.999999999993,17380.000000000015,0.0,0.0,0.0
2000-03-06,35499.999999999985,17380.000000000015,0.0,0.0,0.0
2000-03-07,53800.0,17380.000000000015,0.0,0.0,0.0
2000-03-08,24599.99999999998,17380.000000000015,0.0,0.0,0.0
2000-03-09,29500.0,17380.000000000015,0.0,0.0,0.0
2000-03-10,28299.99999999999,17380.000000000015,0.0,0.0,0.0
2000-03-13,29899.99999999999,17380.000000000015,0.0,0.0,0.0
2000-03-14,27099.999999999978,17380.000000000015,0.0,0.0,0.0
2000-03-15,20200.0,17380.000000000015,0.0,0.0,0.0
2000-03-16,22700.0,17380.000000000015,0.0,0.0,0.0
2000-03-17,22500.0,17170.000000000015,-100.0,0.0,0.0
2000-03-20,33799.99999999999,40899.99999999999,11199.99999999999,0.0,0.0
2000-03-21,30200.0,33340.00000000001,7599.999999999996,0.0,0.0
2000-03-22,33199.99999999997,39639.99999999995,10599.999999999967,0.0,0.0
2000-03-23,33799.99999999999,40900.0,11199.999999999989,0.0,0.0
2000-03-24,27999.999999999975,28719.999999999964,5399.999999999971,0.0,0.0
2000-03-27,30799.999999999985,34599.999999999985,8199.999999999982,0.0,0.0
2000-03-28,37299.99999999997,48249.999999999956,14699.999999999967,0.0,0.0
2000-03-29,42099.99999999998,58329.99999999996,19499.99999999997,0.0,0.0
2000-03-30,40099.999999999985,54129.99999999998,17499.999999999978,0.0,0.0
2000-03-31,37000.0,47620.00000000001,14399.99999999999,0.0,0.0
2000-04-03,41399.99999999998,56859.999999999956,18799.999999999967,0.0,0.0
2000-04-04,49500.0,73870.0,26899.99999999999,0.0,0.0
2000-04-05,47700.0,70090.0,25099.999999999993,0.0,0.0
2000-04-06,49599.99999999998,74079.99999999996,26999.99999999997,0.0,0.0
2000-04-07,56100.0,87730.0,33499.99999999999,0.0,0.0
2000-04-10,68499.99999999999,113769.99999999997,45899.99999999998,0.0,0.0
2000-04-11,66899.99999999999,110409.99999999997,44299.99999999998,0.0,0.0
2000-04-12,53400.00000000001,82060.00000000001,30800.0,0.0,0.0
2000-04-13,54599.999999999985,84579.99999999996,31999.999999999975,0.0,0.0
2000-04-14,57500.000000000015,90670.00000000001,34900.0,0.0,0.0
2000-04-17,57480.000000000015,90580.00000000001,34880.0,-120.0,0.0
2000-04-18,56040.000000000044,89140.00000000004,33440.00000000003,-1559.9999999999693,0.0
2000-04-19,45840.00000000003,78940.00000000003,23240.000000000015,-11759.999999999985,0.0
2000-04-20,44760.00000000003,77860.00000000003,22160.000000000015,-12839.999999999984,0.0
2000-04-24,42240.00000000002,75340.00000000001,19640.000000000004,-15359.999999999993,0.0
2000-04-25,48600.00000000004,81700.00000000003,26000.00000000002,-8999.999999999978,0.0
2000-04-26,54480.000000000015,87580.00000000001,31880.0,-3119.9999999999973,0.0
2000-04-27,46320.000000000015,79420.00000000001,23720.000000000004,-11279.999999999993,0.0
2000-04-28,43080.00000000002,76180.00000000001,20480.000000000007,-14519.999999999987,0.0
2000-05-01,41640.00000000001,74740.0,19039.999999999996,-15960.0,0.0
2000-05-02,31320.000000000015,64420.00000000001,8720.000000000004,-26279.999999999993,0.0
